"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.654583350E-3,8.113128662E-2,5.538482666E-2,9.836195526E0,9.836686037E0
1.164858334E-2,7.439529419E-2,4.864883423E-2,9.836943970E0,9.837345579E0
2.164258334E-2,5.119354248E-2,7.334747314E-2,9.818681946E0,9.819089356E0
3.163658336E-2,2.963836670E-2,8.951385498E-2,9.858199768E0,9.858650710E0
4.163058335E-2,4.236190796E-2,7.664062500E-2,9.828711090E0,9.829101180E0
5.162458334E-2,6.571334839E-2,8.996292114E-2,9.855655060E0,9.856284707E0
6.161858334E-2,6.930587769E-2,1.002914429E-1,9.830507355E0,9.831263221E0
7.161258336E-2,5.912704468E-2,8.232879639E-2,9.846673737E0,9.847195424E0
8.160658335E-2,6.900650024E-2,6.870712280E-2,9.845476227E0,9.845957785E0
9.160058334E-2,7.903564453E-2,6.691085815E-2,9.829309845E0,9.829855326E0
1.015945833E-1,7.574249268E-2,8.322692871E-2,9.836345215E0,9.836988911E0
1.115885834E-1,8.352630615E-2,8.652008057E-2,9.844129028E0,9.844863569E0
1.215825833E-1,7.993377686E-2,7.409591675E-2,9.837542725E0,9.838146496E0
1.315765833E-1,6.227050781E-2,6.271957397E-2,9.825717316E0,9.826114803E0
1.415705833E-1,6.047424316E-2,7.694000244E-2,9.850415955E0,9.850902059E0
1.515645834E-1,5.388793945E-2,7.379653931E-2,9.842931519E0,9.843355664E0
1.615585833E-1,5.014572144E-2,5.493576050E-2,9.823471985E0,9.823753578E0
1.715525833E-1,4.834945679E-2,6.885681152E-2,9.846973114E0,9.847332554E0
1.815455834E-1,3.817062378E-2,1.059796143E-1,9.833052063E0,9.833697247E0
1.915395833E-1,3.472778320E-2,9.729766846E-2,9.871222687E0,9.871763276E0
2.015335833E-1,4.580474854E-2,6.152206421E-2,9.837842102E0,9.838141098E0
2.115275833E-1,6.780899048E-2,6.706054688E-2,9.834399261E0,9.834861667E0
2.215215834E-1,6.601272583E-2,9.250762939E-2,9.856852570E0,9.857507693E0
2.315155833E-1,4.610412598E-2,8.996292114E-2,9.855505371E0,9.856023794E0
2.415095833E-1,5.179229736E-2,8.083190918E-2,9.837393036E0,9.837861454E0
2.515035833E-1,6.167175293E-2,7.903564453E-2,9.829758911E0,9.830270103E0
2.614975834E-1,7.364685059E-2,8.232879639E-2,9.846524048E0,9.847143632E0
2.714915833E-1,6.571334839E-2,9.475296021E-2,9.832752686E0,9.833428789E0
2.814855833E-1,8.098159790E-2,7.065307617E-2,9.856253815E0,9.856839713E0
2.914795833E-1,7.454498291E-2,5.882766724E-2,9.828561401E0,9.829020138E0
3.014735834E-1,5.239105225E-2,9.190887451E-2,9.853409729E0,9.853977641E0
3.114675833E-1,5.613327026E-2,8.846603394E-2,9.854607239E0,9.855164180E0
3.214615833E-1,6.900650024E-2,6.990463257E-2,9.853260040E0,9.853749640E0
3.314555833E-1,7.454498291E-2,6.706054688E-2,9.834698639E0,9.835209779E0
3.414485833E-1,7.888595581E-2,5.403762817E-2,9.841135254E0,9.841599776E0
3.514425833E-1,3.996688843E-2,8.083190918E-2,9.843081207E0,9.843494237E0
3.614365833E-1,3.008743286E-2,8.622070312E-2,9.878258057E0,9.878680150E0
3.714305834E-1,5.224136353E-2,8.038284302E-2,9.824220428E0,9.824688168E0
