"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.393028259E-3,5.147666780E1,5.669682944E0,1.895573237E1,6.327728302E1,1.859974947E-2,5.648275212E1,1.130485102E-3,4.767842249E0,3.330498060E0,-1.000000000E0
6.099034548E-1,5.147666100E1,5.669695074E0,1.457998276E1,5.890155903E1,3.899999857E-1,7.031250000E1,2.410446302E-3,6.471502165E0,6.000000000E0,-1.000000000E0
2.069926858E0,5.147665802E1,5.669712927E0,1.669289780E1,6.101449058E1,1.500000060E-1,NaN,3.612867822E-3,4.485661416E0,4.000000000E0,-1.000000000E0
3.069950819E0,5.147664750E1,5.669716951E0,1.623659897E1,6.055822515E1,3.899999857E-1,8.367187500E1,5.894835237E-3,3.680666474E0,3.000000000E0,-1.000000000E0
4.069974184E0,5.147665610E1,5.669746874E0,1.578347397E1,6.010508690E1,1.490000010E0,5.730468750E1,9.786122634E-3,3.535533906E0,3.000000000E0,-1.000000000E0
5.069997072E0,5.147667831E1,5.669790292E0,1.561654282E1,5.993810716E1,4.550000191E0,5.167968750E1,1.379838511E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.070019841E0,5.147670500E1,5.669829268E0,1.546883774E1,5.979033810E1,4.550000191E0,3.937500000E1,1.755120035E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.069239140E0,5.147673396E1,5.669857096E0,1.565957260E1,5.998099746E1,3.700000048E0,3.023437500E1,2.134010940E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.069151640E0,5.147676431E1,5.669881990E0,1.590047836E1,6.022182231E1,3.650000095E0,2.847656250E1,2.305152017E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.069069624E0,5.147677809E1,5.669892970E0,1.597665024E1,6.029795728E1,3.650000095E0,3.691406250E1,2.314757155E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.006896675E1,5.147677726E1,5.669892635E0,1.526998520E1,5.959129462E1,3.600000143E-1,1.676953125E2,2.321456819E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.106886911E1,5.147677688E1,5.669893390E0,1.528359604E1,5.960490692E1,4.300000072E-1,1.676953125E2,2.494656074E-2,3.535533906E0,3.000000000E0,-1.000000000E0
