"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.490590096E-2,5.146164342E1,5.600458839E0,1.995272255E1,6.428992832E1,NaN,NaN,8.556909353E-1,1.414000000E3,1.035649033E2,-1.000000000E0
1.914543390E0,5.145778294E1,5.589774046E0,2.950002670E1,7.384418231E1,3.079999924E0,2.151562500E2,8.585254175E-1,7.312126013E0,1.200000000E1,-1.000000000E0
2.914552927E0,5.145778810E1,5.589733981E0,1.967208481E1,6.401620784E1,3.119999886E0,2.344921875E2,8.649029582E-1,4.782544958E0,4.000000000E0,-1.000000000E0
3.914563894E0,5.145778202E1,5.589642450E0,1.809041977E1,6.243452165E1,3.119999886E0,2.503125000E2,8.702831818E-1,3.535533906E0,3.000000000E0,-1.000000000E0
4.914573073E0,5.145777728E1,5.589565169E0,1.777621078E1,6.212029363E1,6.139999866E0,2.485546875E2,8.774121947E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.914583802E0,5.145776035E1,5.589465927E0,1.796181870E1,6.230590947E1,8.260000229E0,2.475000000E2,8.854031661E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.914593458E0,5.145773282E1,5.589359393E0,1.760763168E1,6.195175890E1,8.750000000E0,2.482031250E2,8.928800804E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.912669659E0,5.145772787E1,5.589251770E0,1.775484848E1,6.209894426E1,8.260000229E0,2.647265625E2,9.029686485E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.912652373E0,5.145768806E1,5.589120928E0,1.823781967E1,6.258197810E1,8.750000000E0,2.446875000E2,9.121732130E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.912639618E0,5.145766178E1,5.588994948E0,1.835103989E1,6.269522266E1,9.770000458E0,2.482031250E2,9.223094996E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.091260970E1,5.145763001E1,5.588857820E0,1.842098618E1,6.276520488E1,1.009000015E1,2.471484375E2,9.323935668E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.191257691E1,5.145759737E1,5.588722033E0,1.836446762E1,6.270872545E1,1.025000000E1,2.489062500E2,9.428076043E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.291255641E1,5.145756246E1,5.588582559E0,1.851571274E1,6.286001487E1,1.025000000E1,2.496093750E2,9.530281867E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.391252422E1,5.145753036E1,5.588444331E0,1.851572103E1,6.286005960E1,1.025000000E1,2.496092669E2,9.636351740E-1,4.608209221E0,3.548090304E0,-1.000000000E0
1.491248894E1,5.145749751E1,5.588300603E0,1.838126097E1,6.272563586E1,1.048999977E1,2.492577021E2,9.745312072E-1,4.608209188E0,3.548090347E0,-1.000000000E0
1.591246748E1,5.145746159E1,5.588154282E0,1.867984525E1,6.302426448E1,1.067000008E1,2.482030135E2,9.860081683E-1,4.608209150E0,3.548090397E0,-1.000000000E0
1.691243637E1,5.145742475E1,5.587999548E0,1.871768769E1,6.306215043E1,1.105000019E1,2.489061340E2,9.971758717E-1,4.608209109E0,3.548090450E0,-1.000000000E0
1.791240275E1,5.145738625E1,5.587850674E0,1.872495112E1,6.306946480E1,1.118999958E1,2.485545703E2,1.008550703E0,4.608209064E0,3.548090508E0,-1.000000000E0
1.891238296E1,5.145734649E1,5.587699407E0,1.894095454E1,6.328552190E1,1.118999958E1,2.482030081E2,1.019831424E0,4.608209017E0,3.548090569E0,-1.000000000E0
1.991235256E1,5.145730826E1,5.587548593E0,1.917148457E1,6.351610123E1,1.132999992E1,2.482030066E2,1.031509936E0,4.608208973E0,3.548090627E0,-1.000000000E0
2.091232550E1,5.145726869E1,5.587392461E0,1.920859418E1,6.355326187E1,1.146000004E1,2.482030053E2,1.043349198E0,4.608208927E0,3.548090686E0,-1.000000000E0
2.191230989E1,5.145723380E1,5.587231017E0,1.920029388E1,6.354499634E1,1.172999954E1,2.499608135E2,1.055225122E0,4.608208890E0,3.548090734E0,-1.000000000E0
2.291229641E1,5.145720386E1,5.587066483E0,1.924448352E1,6.358920464E1,1.182999992E1,2.527733104E2,1.067324579E0,4.608208863E0,3.548090769E0,-1.000000000E0
2.391228366E1,5.145717405E1,5.586898532E0,1.924076037E1,6.358549830E1,1.182999992E1,2.538279971E2,1.079089505E0,4.608208841E0,3.548090798E0,-1.000000000E0
2.491227174E1,5.145713320E1,5.586741899E0,1.920328492E1,6.354807747E1,1.189999962E1,2.499608117E2,1.091045784E0,4.608208801E0,3.548090850E0,-1.000000000E0
2.591226244E1,5.145709787E1,5.586578913E0,1.913382697E1,6.347865492E1,1.193000031E1,2.496092492E2,1.103324870E0,4.608208767E0,3.548090893E0,-1.000000000E0
2.691225338E1,5.145706210E1,5.586411243E0,1.905741116E1,6.340227380E1,1.203999996E1,2.503123724E2,1.114628080E0,4.608208732E0,3.548090939E0,-1.000000000E0
2.791224468E1,5.145702870E1,5.586257164E0,1.911270901E1,6.345760513E1,1.203999996E1,2.506639347E2,1.127998733E0,4.608208699E0,3.548090982E0,-1.000000000E0
2.891223764E1,5.145698704E1,5.586076135E0,1.929819485E1,6.364313748E1,1.203999996E1,2.503123724E2,1.140382279E0,4.608208656E0,3.548091038E0,-1.000000000E0
2.991223156E1,5.145694973E1,5.585907730E0,1.921128128E1,6.355626287E1,1.230000019E1,2.496092453E2,1.152830322E0,4.608208621E0,3.548091083E0,-1.000000000E0
3.091222620E1,5.145690752E1,5.585741330E0,1.894712130E1,6.329215734E1,1.239000034E1,2.489061199E2,1.165032534E0,4.608208574E0,3.548091145E0,-1.000000000E0
3.191222191E1,5.145686635E1,5.585578079E0,1.900632548E1,6.335141420E1,1.243000031E1,2.485545573E2,1.177702799E0,4.608208527E0,3.548091206E0,-1.000000000E0
3.291221833E1,5.145682561E1,5.585407303E0,1.900028310E1,6.334542000E1,1.247999954E1,2.492576812E2,1.191657033E0,4.608208481E0,3.548091266E0,-1.000000000E0
3.391221488E1,5.145676557E1,5.585230441E0,1.989924891E1,6.424448890E1,1.249025278E1,2.495674739E2,1.203869579E0,4.792289965E0,3.295222894E0,-1.000000000E0
3.491221309E1,5.145672868E1,5.585064418E0,1.961467136E1,6.395995006E1,1.239312522E1,2.495866928E2,1.216304827E0,4.792543927E0,3.294853523E0,-1.000000000E0
3.591221082E1,5.145668502E1,5.584899188E0,1.935060442E1,6.369594237E1,1.246890729E1,2.491690120E2,1.229066996E0,4.794133909E0,3.292539612E0,-1.000000000E0
3.691221023E1,5.145664520E1,5.584726434E0,1.944182392E1,6.378720642E1,1.252564863E1,2.494759663E2,1.241708329E0,4.796035301E0,3.289769358E0,-1.000000000E0
3.791220939E1,5.145660542E1,5.584555516E0,1.962508761E1,6.397051532E1,1.256232314E1,2.489900248E2,1.254093383E0,4.797063668E0,3.288269636E0,-1.000000000E0
3.891221011E1,5.145655839E1,5.584393484E0,2.013483378E1,6.448033215E1,1.251549828E1,2.475856663E2,1.266876002E0,4.799526195E0,3.284674311E0,-1.000000000E0
3.991220891E1,5.145651404E1,5.584223275E0,2.019394082E1,6.453949832E1,1.267638999E1,2.476812373E2,1.279474285E0,4.799593194E0,3.284576412E0,-1.000000000E0
4.091221058E1,5.145647087E1,5.584055163E0,1.997380349E1,6.431941750E1,1.262215295E1,2.481450481E2,1.292068565E0,4.800632927E0,3.283056585E0,-1.000000000E0
4.191221201E1,5.145643300E1,5.583883851E0,1.974010239E1,6.408575571E1,1.254388870E1,2.491652259E2,1.304282766E0,4.744676656E0,3.363417973E0,-1.000000000E0
4.291221368E1,5.145638757E1,5.583723351E0,1.978456049E1,6.413028035E1,1.236527887E1,2.472888216E2,1.316702121E0,4.745908323E0,3.361679822E0,-1.000000000E0
4.391221607E1,5.145634596E1,5.583557008E0,2.003014764E1,6.437592009E1,1.220649529E1,2.480296120E2,1.327237826E0,4.746816613E0,3.360397160E0,-1.000000000E0
4.491221750E1,5.145631007E1,5.583416278E0,1.945568266E1,6.380150166E1,1.111985444E1,2.478499744E2,1.336760157E0,4.746911412E0,3.360263245E0,-1.000000000E0
4.591222095E1,5.145627968E1,5.583287793E0,1.886308968E1,6.320894411E1,9.990804860E0,2.486655662E2,1.343957128E0,4.746680740E0,3.360589083E0,-1.000000000E0
4.691222370E1,5.145625719E1,5.583190391E0,1.848511557E1,6.283099519E1,8.156994538E0,2.494672933E2,1.349764501E0,4.746002521E0,3.361546832E0,-1.000000000E0
4.791222727E1,5.145623568E1,5.583114016E0,1.858693668E1,6.293284764E1,6.480088229E0,2.492972578E2,1.354465526E0,4.745274435E0,3.362574544E0,-1.000000000E0
4.891223121E1,5.145621836E1,5.583052120E0,1.875685720E1,6.310279319E1,5.151090332E0,2.476122527E2,1.357384716E0,4.745439025E0,3.362342263E0,-1.000000000E0
4.991223550E1,5.145620839E1,5.583013147E0,1.878096584E1,6.312691482E1,3.696812236E0,2.470282264E2,1.359156859E0,4.742527806E0,3.366447244E0,-1.000000000E0
5.091223907E1,5.145620058E1,5.582990854E0,1.944726264E1,6.379322534E1,2.351175925E0,2.471292749E2,1.360094319E0,4.740961369E0,3.368652895E0,-1.000000000E0
5.191224349E1,5.145619932E1,5.582977476E0,1.937930709E1,6.372526779E1,1.218645746E0,2.534643351E2,"",4.739914369E0,3.370125934E0,-1.000000000E0
