"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.547999989E-3,7.253294139E-1,1.099973531E0,-2.619911047E0,2.932571980E0
1.254199998E-2,7.880712073E-1,1.212727144E0,-2.342346058E0,2.752880021E0
2.253599997E-2,8.635382961E-1,1.483202384E0,-1.895682517E0,2.557185935E0
3.253000000E-2,8.416509984E-1,1.674079184E0,-1.729944944E0,2.550220976E0
4.252399999E-2,8.433852826E-1,1.726188108E0,-1.565904232E0,2.478523791E0
5.251799998E-2,9.768471028E-1,1.795908261E0,-1.214638599E0,2.377995725E0
6.251199997E-2,1.073419863E0,1.825017454E0,-9.480195987E-1,2.319840527E0
7.250600000E-2,1.131856497E0,1.868373097E0,-1.225188146E0,2.504596405E0
8.249999999E-2,1.065301004E0,1.921194796E0,-1.615276952E0,2.726715113E0
9.249399998E-2,8.793775262E-1,2.057401007E0,-1.773036584E0,2.854796397E0
1.024880000E-1,7.563680425E-1,2.202202040E0,-1.861083373E0,2.980841788E0
1.124820000E-1,7.655449551E-1,2.289591017E0,-2.111400336E0,3.207225823E0
1.224770000E-1,8.055336244E-1,2.231631077E0,-2.160375445E0,3.208782284E0
1.324710000E-1,8.799645866E-1,1.975770953E0,-1.934594568E0,2.901838155E0
1.424650000E-1,9.051834816E-1,2.152048133E0,-1.613281297E0,2.837841582E0
1.524590000E-1,6.696235751E-1,2.604052521E0,-1.300988526E0,2.986981153E0
1.624530000E-1,5.970925194E-1,3.041867178E0,-9.240308118E-1,3.234703749E0
1.724470000E-1,5.719413060E-1,3.382841712E0,-6.949526900E-1,3.500527695E0
1.824410000E-1,5.907721178E-1,3.805802687E0,-3.989818364E-1,3.871993323E0
1.924350000E-1,6.469338933E-1,3.648811963E0,-7.166049296E-1,3.774370786E0
2.024290000E-1,8.294868165E-1,3.269878475E0,-1.296286780E0,3.613933181E0
2.124230000E-1,1.171381702E0,2.548507773E0,-1.373619130E0,3.123116468E0
2.224170000E-1,1.492616108E0,1.742710585E0,-1.293128698E0,2.633842224E0
2.324110000E-1,1.455916790E0,1.098833470E0,-5.945033723E-1,1.918479334E0
2.424050000E-1,1.530578864E0,2.233799809E0,-1.210864806E-1,2.710571006E0
2.523990000E-1,8.025339297E-1,3.401262487E0,3.723465997E-1,3.514440099E0
2.623930000E-1,-4.475926638E-1,3.919776030E0,3.166740900E-1,3.957937063E0
2.723870000E-1,-9.745043427E-1,4.547304769E0,3.587670261E-1,4.664370606E0
2.823810000E-1,-8.664200232E-1,4.859170693E0,7.599140865E-1,4.993965649E0
2.923760000E-1,-3.011173535E-1,4.686380793E0,1.061232219E0,4.814462630E0
3.023700000E-1,-4.817859384E-1,3.673574922E0,9.489019436E-1,3.824615706E0
3.123640000E-1,-7.317799160E-1,2.779013785E0,1.032039410E-1,2.875599157E0
3.223580000E-1,-2.157626961E-1,3.551937926E0,-1.288369650E-1,3.560816695E0
3.323520000E-1,-5.573303201E-1,4.175235912E0,-3.696872860E-1,4.228460795E0
3.423460000E-1,-1.055366438E0,4.963766271E0,3.963868421E-1,5.090176465E0
3.523400000E-1,-1.435523456E0,5.904340611E0,1.275903386E0,6.208856182E0
3.623340000E-1,-1.401279384E0,6.546314603E0,1.779823447E0,6.927163222E0
3.723280000E-1,-3.059215173E-1,6.693881954E0,2.336895284E0,7.096669864E0
3.823220000E-1,1.514285890E0,6.687693261E0,3.015033136E0,7.490575927E0
3.923160000E-1,2.941199467E0,6.670212425E0,3.533115739E0,8.100944076E0
4.023100000E-1,2.708985191E0,6.570040265E0,3.848516305E0,8.081776265E0
4.123040000E-1,1.844794492E0,6.004377115E0,4.636257291E0,7.807092475E0
4.222980000E-1,4.794782251E-1,4.327134295E0,4.954420082E0,6.595473366E0
4.322920000E-1,-9.093717691E-1,2.203833121E0,4.076178231E0,4.722188731E0
4.422860000E-1,-1.009111600E0,1.142854818E0,3.114541637E0,3.467678325E0
4.522800000E-1,-3.000553530E-2,2.041618203E0,2.303058617E0,3.077853832E0
4.622740000E-1,1.658444752E0,3.696270012E0,1.538188430E0,4.333459893E0
4.722690000E-1,2.711143398E0,4.803933801E0,4.712002122E-1,5.536253980E0
4.822630000E-1,2.610180695E0,5.126794830E0,-2.715499574E-1,5.759410375E0
4.922570000E-1,1.004031905E0,4.860300960E0,-3.714771187E-1,4.976806279E0
5.022510000E-1,-3.586305521E0,4.521666190E0,1.018514215E0,5.860411558E0
5.122450000E-1,-5.593431290E0,4.323916865E0,5.531426246E0,8.976603309E0
5.222390000E-1,-4.565945107E0,2.613097579E0,6.786870809E0,8.587068712E0
5.322330000E-1,-2.708725575E0,6.677566322E-1,5.567611156E0,6.227470364E0
5.422270000E-1,-1.255885589E0,1.453463591E0,4.909719288E0,5.272110442E0
5.522210000E-1,-7.589132624E-1,4.138077441E0,3.823745161E0,5.685126322E0
5.622150000E-1,-6.807332848E-1,5.266064397E0,2.772338018E0,5.990049259E0
5.722083750E-1,-1.287615797E0,4.776161281E0,2.989474956E0,5.779847017E0
5.822023750E-1,-1.757549064E0,3.647093174E0,3.253748639E0,5.193952978E0
5.921963750E-1,-2.319275869E0,2.362296466E0,3.032629162E0,4.489579578E0
6.021903750E-1,-2.118728067E0,2.107143855E0,2.445580405E0,3.861337510E0
6.121843750E-1,-1.703485562E0,2.505005365E0,1.422932793E0,3.346887012E0
6.221783750E-1,-1.495297934E0,2.446679389E0,3.363809609E-1,2.887093364E0
6.321723750E-1,-2.448361633E0,1.491130477E0,4.116615236E-2,2.866991356E0
6.421663750E-1,-3.200612066E0,8.345287974E-1,3.508066267E-1,3.326172155E0
6.521613750E-1,-3.355933410E0,2.443088212E-1,-5.818505824E-2,3.365317422E0
6.621553750E-1,-3.121558295E0,-2.937329597E-1,-1.058941864E0,3.309344817E0
6.721493750E-1,-2.110938698E0,-4.990718427E-1,-1.369013863E0,2.565021218E0
6.821433750E-1,-8.831847945E-1,-3.219811326E-1,-1.355503871E0,1.649569027E0
6.921373750E-1,-1.664480102E-1,-6.206883734E-1,-1.239034937E0,1.395767378E0
7.021313750E-1,-3.047115639E-1,-1.595610427E0,-1.056600055E0,1.937840408E0
7.121253750E-1,-8.643908932E-1,-2.130820401E0,-1.294156639E0,2.638637642E0
7.221193750E-1,-1.359935476E0,-1.841282946E0,-1.756777816E0,2.885483614E0
7.321133750E-1,-1.203904792E0,-1.185576695E0,-2.753186048E0,3.230326959E0
7.421073750E-1,-3.707273595E-1,5.607004724E-2,-5.082406277E0,5.096217832E0
7.521013750E-1,6.770719776E-1,1.385532832E0,-7.480107926E0,7.637417252E0
7.620953750E-1,1.574506656E0,2.006499095E0,-8.637512224E0,9.006204931E0
7.720893750E-1,1.560729446E0,1.793088002E0,-8.690795562E0,9.010048195E0
7.820833750E-1,1.204829091E0,9.380573320E-1,-8.212661721E0,8.353405129E0
7.920773750E-1,5.302828181E-1,-1.169810043E-1,-7.179006141E0,7.199514816E0
8.020713750E-1,-2.931405088E-1,-7.667727242E-1,-5.931144247E0,5.987682678E0
8.120653750E-1,-8.768009506E-2,-1.016968212E0,-5.193999803E0,5.293349232E0
8.220593750E-1,9.350027465E-1,-1.074039814E0,-5.108522866E0,5.303281770E0
8.320533750E-1,1.663678741E0,-6.944564076E-1,-4.175154635E0,4.547748111E0
8.420483750E-1,2.666137379E0,-1.436222345E-1,-3.126969894E0,4.111794813E0
8.520423750E-1,3.747154822E0,3.036637428E-1,-2.120293951E0,4.316135698E0
8.620363750E-1,4.019937080E0,6.406284752E-1,4.258527160E-2,4.070885957E0
8.720303750E-1,3.939486701E0,4.013075665E-1,2.499252582E0,4.682613234E0
8.820243750E-1,3.877911428E0,-3.338891700E-2,4.124678546E0,5.661473745E0
