"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.034016668E-2,8.667093873E-2,7.748743339E-1,9.268813294E-1,1.211218842E0
4.033616668E-2,1.319026601E-1,3.145375174E-1,1.856137798E0,1.887214796E0
5.033216666E-2,3.285147017E-1,1.501681924E-2,2.219980207E0,2.244205769E0
6.032916668E-2,4.924893397E-1,-2.160750836E-2,1.868015247E0,1.931966252E0
7.032516666E-2,5.544341576E-1,1.501948703E-1,9.914369291E-1,1.145819758E0
8.032116666E-2,5.293630511E-1,2.540476695E-1,5.775645733E-2,5.900010734E-1
9.031716667E-2,5.285450256E-1,1.915011000E-1,-6.209438968E-1,8.376179549E-1
1.003131667E-1,6.663223833E-1,2.416694429E-1,-9.439049131E-1,1.180400831E0
1.103101667E-1,6.818560964E-1,4.260434814E-1,-1.098532777E0,1.361328412E0
1.203061667E-1,5.835240555E-1,6.574313995E-1,-1.193383970E0,1.482188135E0
1.303021667E-1,3.226967221E-1,7.947962362E-1,-1.078163416E0,1.377777407E0
1.402981667E-1,5.965797186E-2,8.496416572E-1,-7.249682021E-1,1.118494038E0
1.502941667E-1,-1.322073001E-1,8.056578778E-1,-2.915684849E-1,8.669345809E-1
1.602911667E-1,-2.584562874E-1,7.286657620E-1,2.289477289E-1,8.063315123E-1
1.702871667E-1,-2.814972407E-1,6.075351715E-1,5.710460973E-1,8.800189352E-1
1.802831667E-1,-2.444802725E-1,4.504815537E-1,6.433305466E-1,8.225438749E-1
1.902791667E-1,-2.457169586E-1,4.025217042E-1,5.189947683E-1,7.012532464E-1
2.002751667E-1,-1.941585499E-1,4.141853646E-1,2.560244304E-1,5.242094693E-1
2.102721667E-1,-1.159900475E-1,4.542446756E-1,4.517734230E-2,4.709914104E-1
2.202681667E-1,2.940740168E-2,5.667324236E-1,-1.915495223E-1,5.989504610E-1
2.302641667E-1,2.839717823E-1,7.632645410E-1,-4.257217383E-1,9.189405483E-1
2.402601667E-1,5.626781470E-1,9.572240663E-1,-5.919335210E-1,1.258280535E0
2.502571667E-1,7.234754080E-1,1.037182255E0,-6.763971359E-1,1.434111844E0
2.602531667E-1,7.226562130E-1,9.908684336E-1,-6.851650357E-1,1.404814358E0
2.702491667E-1,5.806659365E-1,9.073336489E-1,-5.894741821E-1,1.227968685E0
2.802451667E-1,3.605048186E-1,8.282191401E-1,-4.966706836E-1,1.030821244E0
2.902411667E-1,1.116905898E-1,7.159015095E-1,-4.488503999E-1,8.523241406E-1
3.002381667E-1,-1.186411750E-1,5.613150514E-1,-4.016545987E-1,7.003404400E-1
3.102341667E-1,-2.639836603E-1,4.332020082E-1,-3.163413835E-1,5.978488302E-1
3.202301667E-1,-2.570207959E-1,3.378628647E-1,-1.490116131E-1,4.499060632E-1
3.302261667E-1,-3.081622982E-1,3.692377813E-1,3.297525573E-1,5.831271647E-1
