"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.319791663E-3,3.532653809E-2,2.037263489E-1,9.795480194E0,9.797662202E0
8.603208335E-3,3.787124634E-2,2.318678284E-1,9.807006226E0,9.809819979E0
1.852620834E-2,3.338058472E-2,2.769241333E-1,9.817634125E0,9.821595647E0
2.844920834E-2,1.901046753E-2,3.459306335E-1,9.824220428E0,9.830327382E0
3.837220834E-2,1.856140137E-2,4.044589233E-1,9.833052063E0,9.841384274E0
4.829520834E-2,4.939727783E-3,4.354444885E-1,9.832303619E0,9.841942429E0
5.821820834E-2,-2.993774414E-4,4.052073669E-1,9.862391052E0,9.870711746E0
6.814120834E-2,-3.487747192E-2,3.532653809E-1,9.895921326E0,9.902286188E0
7.806420833E-2,-4.790039063E-2,3.028202820E-1,9.902956696E0,9.907701342E0
8.798720834E-2,-1.062789917E-1,1.529818726E-1,9.942624207E0,9.944368999E0
9.791020834E-2,-1.457968140E-1,4.760101318E-2,1.001252884E1,1.001370343E1
1.078332083E-1,-1.847158813E-1,5.643264771E-2,1.004321503E1,1.004507206E1
1.177562083E-1,-2.034269714E-1,-1.751358032E-2,1.004501129E1,1.004708620E1
1.276792083E-1,-2.396516418E-1,-1.526824951E-2,1.012823822E1,1.013108461E1
1.376022083E-1,-2.493814087E-1,9.280700684E-3,1.011267059E1,1.011574929E1
1.475252083E-1,-3.071612549E-1,6.092330933E-2,1.015862503E1,1.016345031E1
1.574482083E-1,-3.516188049E-1,-4.790039063E-2,1.028840515E1,1.029452334E1
1.673712083E-1,-4.227209473E-1,3.532653809E-2,1.030172745E1,1.031045728E1
1.772942083E-1,-4.210743713E-1,-8.307723999E-2,1.031983978E1,1.032876075E1
1.872172083E-1,-4.408332825E-1,-1.173559570E-1,1.039558228E1,1.040558683E1
1.971402083E-1,-4.475692749E-1,-4.096980286E-1,1.032941986E1,1.034722598E1
2.070632083E-1,-4.272116089E-1,-1.432521057E-1,1.033959869E1,1.034941216E1
2.169862083E-1,-3.644920349E-1,-2.445913696E-1,1.035142410E1,1.036072682E1
2.269092083E-1,-3.132984924E-1,2.724334717E-2,1.021056702E1,1.021540880E1
2.368322083E-1,-2.335144043E-1,8.008346558E-2,1.010967682E1,1.011269043E1
2.467552083E-1,-4.685256958E-2,1.883084106E-1,1.001432510E1,1.001620500E1
2.566782083E-1,4.924758911E-2,1.448986816E-1,9.827812958E0,9.829004450E0
2.666012083E-1,2.694396973E-2,1.574725342E-1,9.682764587E0,9.684082488E0
2.765270833E-1,1.993853760E-1,-2.993774414E-2,9.822573853E0,9.824642888E0
2.864500833E-1,1.528321838E-1,-4.068539429E-1,9.830207977E0,9.839810805E0
2.963730833E-1,-1.332229614E-2,-4.691244507E-1,9.756710815E0,9.767991665E0
3.062960833E-1,3.397933960E-2,-8.181985474E-1,9.716893616E0,9.751339651E0
3.162190833E-1,2.640509033E-1,-9.589059448E-1,9.692045288E0,9.742944388E0
3.261420833E-1,2.776725769E-1,-8.271798706E-1,9.453591156E0,9.493772398E0
3.360650833E-1,5.519023132E-1,-7.496411133E-1,9.075627136E0,9.123243167E0
3.459880833E-1,7.412585449E-1,-7.123686218E-1,8.924291840E0,8.983313315E0
3.559110833E-1,8.632548523E-1,-8.252339172E-1,8.916957092E0,8.996574000E0
3.658340833E-1,6.783892822E-1,-9.696835327E-1,8.993747406E0,9.071272820E0
3.757570833E-1,3.350033569E-1,-1.293310547E0,9.353000336E0,9.447936002E0
3.856800833E-1,6.750961304E-2,-1.495540009E0,9.709858246E0,9.824588776E0
3.956030833E-1,-2.026785278E-1,-1.585502930E0,9.875563660E0,1.000408195E1
4.055260833E-1,-2.360591125E-1,-1.573228455E0,9.947863312E0,1.007426206E1
4.154490833E-1,-1.213975525E-1,-1.421444092E0,9.815089417E0,9.918226703E0
4.253720833E-1,1.478924561E-1,-1.086440735E0,9.532177734E0,9.595031944E0
4.352950833E-1,3.637435913E-1,-7.460485840E-1,9.319170685E0,9.356059007E0
4.452170833E-1,4.171824646E-1,-4.682263184E-1,9.195378113E0,9.216737803E0
4.551400833E-1,4.649331665E-1,-4.052073669E-1,9.229507141E0,9.250089617E0
4.650630833E-1,1.757345581E-1,-3.959266663E-1,9.357640686E0,9.367661382E0
4.749860833E-1,-5.748046875E-2,-6.282435608E-1,9.744735718E0,9.765135339E0
4.849090833E-1,-4.258644104E-1,-9.657916260E-1,1.009755203E1,1.015256968E1
4.948320833E-1,-7.059320068E-1,-1.377884674E0,1.028256729E1,1.039846605E1
5.047550833E-1,-8.003855896E-1,-1.573976898E0,1.048539551E1,1.063303999E1
