"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.781500000E-2,1.008216757E-3,-1.522459090E-3,1.531963120E-3,2.383546457E-3
6.773800000E-2,5.863719853E-4,1.576661132E-3,1.352732419E-3,2.158605436E-3
7.766000000E-2,2.167490777E-3,1.882658340E-3,1.145804883E-3,3.091162811E-3
8.758300000E-2,1.459782943E-3,-2.095189877E-3,2.822352573E-3,3.806108368E-3
9.750500000E-2,7.070514839E-4,-8.077453822E-4,-2.527119359E-4,1.102831685E-3
1.074280000E-1,-1.737197861E-3,6.026634946E-4,9.755379288E-4,2.081522026E-3
1.173510000E-1,-1.047102502E-3,-1.149943098E-3,3.679509973E-4,1.598180439E-3
1.272730000E-1,1.825383166E-3,2.372981980E-4,3.744040150E-3,4.172070323E-3
1.371960000E-1,-7.394200657E-5,7.588881999E-5,2.305692993E-3,2.308126234E-3
1.471180000E-1,1.606825390E-4,3.917394206E-4,3.770431504E-3,3.794131307E-3
1.570410000E-1,-8.785971440E-4,-1.594722271E-3,8.209071821E-4,1.997238259E-3
1.669640000E-1,-1.550512738E-3,-1.592592336E-3,-1.482170774E-4,2.227646381E-3
1.768860000E-1,2.251612023E-5,1.867308281E-3,1.523288316E-3,2.409928316E-3
1.868090000E-1,8.376885671E-5,-1.212636940E-3,1.873494009E-3,2.233267869E-3
1.967310000E-1,2.690317342E-4,1.995249651E-3,2.637230325E-3,3.317888340E-3
2.066540000E-1,-1.169874100E-3,1.246369444E-3,-1.554412302E-5,1.709468871E-3
2.165770000E-1,-2.175217494E-3,-5.715042353E-4,-8.132425137E-5,2.250511469E-3
2.264990000E-1,-6.425683387E-4,-4.468681291E-4,2.691292670E-3,2.802791720E-3
2.364220000E-1,8.734340081E-4,-7.029324770E-4,1.044570818E-3,1.532360671E-3
2.463440000E-1,-4.458959447E-4,1.520275138E-3,2.321290318E-3,2.810417839E-3
2.562670000E-1,-2.294835169E-3,-1.745938323E-3,1.389246318E-3,3.200714672E-3
2.661900000E-1,-2.696705982E-3,2.826005220E-5,1.463548397E-3,3.068386497E-3
2.761120000E-1,2.120305086E-3,1.375543885E-3,1.781187137E-3,3.091996483E-3
2.860350000E-1,1.105374424E-3,-2.806764096E-4,-8.028779412E-4,1.394720349E-3
2.959570000E-1,-5.705363583E-5,-1.806955785E-3,-1.072321320E-4,1.811033698E-3
3.058800000E-1,-1.393694081E-3,-1.470332034E-3,2.390813082E-3,3.133727282E-3
3.158020000E-1,-1.336968853E-3,1.884984784E-3,-4.012450809E-4,2.345559840E-3
3.257250000E-1,-9.694526671E-4,4.660431296E-5,9.729460580E-4,1.374275979E-3
3.356480000E-1,1.227931352E-4,1.090255566E-3,4.089436261E-4,1.170884385E-3
3.455700000E-1,-1.495343517E-3,-1.156120561E-3,1.453169272E-3,2.384191250E-3
3.554930000E-1,-2.801326569E-3,9.965645149E-4,2.804210875E-3,4.087073527E-3
3.654150000E-1,-1.967490884E-3,9.615067393E-5,1.304584905E-3,2.362669486E-3
3.753380000E-1,-5.641195457E-5,-1.933969557E-3,2.901302651E-5,1.935009642E-3
3.852610000E-1,-1.183994347E-3,1.441585831E-3,1.007724670E-3,2.120264449E-3
3.951830000E-1,-3.426079638E-5,-1.282323152E-3,1.288253115E-4,1.289233272E-3
4.051060000E-1,5.798641359E-4,2.162476070E-3,2.891476033E-4,2.257465727E-3
4.150280000E-1,-4.038389307E-4,-8.529890329E-4,3.218495287E-3,3.354010746E-3
4.249510000E-1,6.031022640E-4,-2.873335034E-4,9.779777611E-4,1.184370459E-3
4.348740000E-1,2.073710319E-3,-2.205947414E-3,1.841382007E-3,3.543609202E-3
4.447960000E-1,1.562343095E-4,-1.133493148E-3,9.811808122E-4,1.507292826E-3
4.547190000E-1,-6.988754030E-4,-9.797783569E-4,1.282139099E-3,1.758486033E-3
4.646410000E-1,8.489290485E-5,-5.515422672E-4,3.797494806E-3,3.838277281E-3
4.745640000E-1,-1.972300233E-4,1.700543799E-3,2.736692782E-3,3.228039076E-3
4.844870000E-1,-2.104852349E-3,-7.221326232E-4,2.441082150E-3,3.303144108E-3
4.944090000E-1,5.743086804E-4,1.779229380E-3,6.431970978E-4,1.977167204E-3
5.043320000E-1,1.413737074E-3,1.783755608E-3,8.304173825E-4,2.422814399E-3
5.142540000E-1,3.561223275E-4,-3.571845591E-4,-1.026656362E-3,1.143865030E-3
5.241770000E-1,-1.246035448E-3,-2.270932309E-3,1.437333412E-5,2.590356054E-3
5.341000000E-1,1.295268303E-3,-2.160141245E-3,3.913055174E-3,4.653593339E-3
5.440220000E-1,-5.282380152E-5,-3.571817651E-4,2.570555545E-3,2.595789857E-3
5.539450000E-1,-2.491932828E-4,-1.018326730E-3,2.270617988E-3,2.500958350E-3
5.638670000E-1,5.998224951E-4,4.410846159E-4,1.279389602E-3,1.480263631E-3
5.737900000E-1,4.658970283E-4,1.662978902E-4,4.543639952E-4,6.716856925E-4
5.837130000E-1,-2.626033034E-3,-1.980743371E-3,1.137464889E-3,3.480405174E-3
5.936350000E-1,7.353669498E-4,1.521336846E-3,-5.137242842E-4,1.766109563E-3
6.035580000E-1,-6.097956793E-4,-6.824294105E-4,8.000129601E-4,1.215558064E-3
6.134800000E-1,7.853261195E-5,2.342567779E-3,1.608396997E-3,2.842662848E-3
6.234030000E-1,1.392536331E-3,-2.278016880E-3,2.754848683E-4,2.684103249E-3
6.333260000E-1,-1.448670519E-3,-1.238435507E-4,1.241580234E-3,1.911937492E-3
6.432480000E-1,2.531690057E-3,-1.184847206E-3,2.479950432E-3,3.736772885E-3
6.531710000E-1,2.995284158E-4,-7.138494402E-5,3.233779222E-3,3.248405938E-3
6.630930000E-1,7.469394477E-4,7.294286042E-4,3.562335623E-4,1.103126003E-3
6.730160000E-1,1.263834420E-4,-3.108968958E-4,-1.326626400E-3,1.368417794E-3
6.829396250E-1,-1.758852741E-4,2.619378269E-3,2.904603723E-3,3.915201264E-3
6.928616250E-1,-4.691906506E-4,-6.294753402E-4,2.783486154E-3,2.892088214E-3
7.027846250E-1,2.511944040E-4,1.770032570E-3,1.280397875E-3,2.198984458E-3
7.127066250E-1,-3.123444039E-4,-9.310003370E-4,1.490479801E-3,1.784895148E-3
7.226296250E-1,-4.609487951E-4,8.250875399E-4,1.058781520E-3,1.419246824E-3
7.325526250E-1,1.161800348E-3,1.031070016E-3,1.974238548E-4,1.565842140E-3
7.424746250E-1,3.408176824E-3,-1.694409177E-3,2.054445911E-3,4.325209790E-3
7.523976250E-1,4.863031209E-4,3.278646618E-4,1.018858282E-3,1.175609697E-3
7.623196250E-1,1.436785329E-3,1.485539600E-3,3.835683689E-3,4.357022991E-3
7.722426250E-1,1.575910836E-3,-8.545815945E-5,1.248188782E-4,1.583154386E-3
7.821646250E-1,1.113319770E-3,6.311982870E-4,1.754673664E-3,2.171813033E-3
7.920876250E-1,1.653916901E-3,-5.771154538E-4,2.199502662E-3,2.811817085E-3
8.020106250E-1,-2.710159170E-4,1.011136919E-5,1.512406860E-3,1.536530630E-3
8.119326250E-1,1.414481318E-3,2.457806841E-4,2.034177538E-3,2.489787902E-3
8.218556250E-1,-5.634484114E-4,1.466306858E-3,9.574615397E-4,1.839636517E-3
8.317776250E-1,-3.407063195E-4,-1.762328669E-3,2.503857482E-3,3.080776757E-3
8.417006250E-1,-1.309830579E-3,3.956630826E-5,-1.030157320E-3,1.666867044E-3
8.516236250E-1,2.377440687E-4,-1.474398188E-3,3.411703510E-3,3.724257389E-3
8.615456250E-1,-1.699705608E-3,-1.161742955E-3,1.638038550E-3,2.630934461E-3
8.714686250E-1,-2.884378191E-4,-1.849482767E-3,-1.306601334E-4,1.876394136E-3
8.813906250E-1,-9.728702717E-4,-6.832843646E-4,2.636896912E-3,2.892504004E-3
8.913136250E-1,1.054429216E-3,1.014296897E-3,2.371421084E-3,2.786441660E-3
9.012366250E-1,-8.960700361E-4,-3.235575743E-3,1.840919722E-3,3.828952510E-3
9.111586250E-1,5.219314480E-4,1.341877505E-3,3.361568786E-3,3.656937568E-3
9.210816250E-1,1.113685779E-3,-3.154082224E-4,1.101153903E-4,1.162713963E-3
9.310036250E-1,-2.794889268E-3,-2.124922350E-3,1.884256024E-3,3.984610618E-3
9.409266250E-1,-5.852644099E-4,2.450244501E-4,3.326982260E-4,7.164213287E-4
9.508496250E-1,-1.684754738E-3,8.055977523E-4,1.067088451E-3,2.150828684E-3
9.607716250E-1,-9.004538879E-4,7.467418909E-4,2.549936529E-3,2.805461987E-3
9.706946250E-1,-9.555784054E-4,1.922741532E-3,1.339415787E-3,2.530632280E-3
9.806166250E-1,-1.996341627E-3,2.452977002E-3,1.065110089E-3,3.337204753E-3
9.905396250E-1,-1.706096227E-3,1.032938249E-3,2.720314311E-3,3.373104759E-3
1.000462625E0,8.942141430E-4,-1.059241593E-3,-6.448562490E-4,1.528872548E-3
1.010384625E0,1.036712551E-3,-3.025038168E-3,5.373030435E-4,3.242579743E-3
1.020307625E0,1.081187394E-3,-1.193315722E-3,2.458774019E-3,2.939139036E-3
1.030229625E0,7.945962716E-5,1.924796030E-3,-3.289007582E-4,1.954310441E-3
1.040152625E0,-4.233263433E-3,6.459448487E-4,2.340918174E-3,4.880334204E-3
