"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.049220833E-2,-1.007405090E-1,-1.265468445E0,9.803563385E0,9.885414209E0
4.041520833E-2,-9.145980835E-2,-1.276545410E0,9.809251556E0,9.892388447E0
5.033820833E-2,-9.250762939E-2,-1.284179535E0,9.805359650E0,9.889527420E0
6.026120833E-2,-8.711883545E-2,-1.298998718E0,9.800120544E0,9.886220210E0
7.018420833E-2,-9.610015869E-2,-1.299148407E0,9.808353424E0,9.894484257E0
8.010720833E-2,-1.092727661E-1,-1.302890625E0,9.808952179E0,9.895706512E0
9.003120833E-2,-1.071771240E-1,-1.295256500E0,9.814939728E0,9.900617061E0
9.995420833E-2,-1.119671631E-1,-1.262474670E0,9.804311829E0,9.885894465E0
1.098772083E-1,-1.005908203E-1,-1.230740662E0,9.814191284E0,9.891571748E0
1.198002083E-1,-1.152603149E-1,-1.206940155E0,9.807006226E0,9.881667905E0
1.297232083E-1,-1.146615601E-1,-1.188528442E0,9.801018677E0,9.873485415E0
1.396472083E-1,-1.318757629E-1,-1.187031555E0,9.785600739E0,9.858215708E0
1.495702083E-1,-1.389111328E-1,-1.216969299E0,9.801318054E0,9.877557703E0
1.594932083E-1,-1.438508606E-1,-1.258133698E0,9.805659027E0,9.887089684E0
1.694162083E-1,-1.318757629E-1,-1.295855255E0,9.815089417E0,9.901141970E0
1.793392083E-1,-1.320254517E-1,-1.306782532E0,9.788594513E0,9.876319853E0
1.892632083E-1,-1.338217163E-1,-1.297352142E0,9.790839844E0,9.877326343E0
1.991862083E-1,-1.329235840E-1,-1.285975800E0,9.802365875E0,9.887253369E0
2.091092083E-1,-1.297801208E-1,-1.267713776E0,9.807006226E0,9.889454596E0
2.190322083E-1,-1.288819885E-1,-1.265019379E0,9.796827393E0,9.879003571E0
2.289552083E-1,-1.260379028E-1,-1.264720001E0,9.802665253E0,9.884717917E0
